Provinsi;Tahun;IPM;PDRB_PerKapita(Rp);JPM;Avr_LamaSekolah;Avr_AHH;TPT(%);UMR(Rp)
KEP. RIAU;2022;78,48;145579;300,57;10,37;70,53;8,13;3050172
DKI JAKARTA;2022;82,77;299675;996,97;11,31;73,34;7,59;4452724
JAWA BARAT;2022;73,63;49137;8124,6;8,78;73,63;8,33;1841487
JAWA TENGAH;2022;72,8;41946;7689,67;7,93;74,62;5,66;1813011
DI YOGYAKARTA;2022;80,65;44637;918,39;9,75;75,11;3,90;1840951
JAWA TIMUR;2022;74,05;66247;8417,8;8,03;71,76;5,15;1891567
BANTEN;2022;75,25;61414;1643,68;9,13;70,41;8,31;2501203
BALI;2022;77,4;56092;411,04;9,39;72,61;4,82;2516971
NUSA TENGGARA BARAT;2022;71,65;28671;1476,63;7,61;67,11;3,41;2207212
NUSA TENGGARA TIMUR;2022;67,63;21657;2280,79;7,7;67,49;3,42;1975000
KALIMANTAN BARAT;2022;69,71;46092;706,76;7,59;71,04;4,99;2434328
KALIMANTAN TENGAH;2022;73,17;72989;289,62;8,65;70,05;4,23;2922516
KALIMANTAN SELATAN;2022;74;60244;397,65;8,46;69,18;4,47;2906473
KALIMANTAN TIMUR;2022;77,36;238917;478,55;9,92;74,66;6,24;3014497
KALIMANTAN UTARA;2022;72,21;192588;100,04;9,27;72,62;4,48;3016738
SULAWESI UTARA;2022;74,52;59021;372,47;9,68;72,10;6,56;3310723
SULAWESI TENGAH;2022;71,01;106068;778,06;8,89;68,97;3,34;2390739
SULAWESI SELATAN;2022;73,96;65350;1559,76;8,63;71,00;5,13;3165876
SULAWESI TENGGARA;2022;72,38;58715;624,53;9,25;71,46;3,61;2710595
GORONTALO;2022;70,62;39694;372,79;8,02;68,55;2,92;2800580
SULAWESI BARAT;2022;69,19;37068;334,98;8,08;65,67;2,73;2678863
MALUKU;2022;72,04;28526;587,23;10,19;66,48;6,66;2619312
MALUKU UTARA;2022;70,26;53776;162;9,24;68,82;4,48;2862231
PAPUA BARAT;2022;66,72;78133;441,14;7,84;66,49;5,58;3200000
PAPUA;2022;62,16;59384;1858,44;7,02;66,25;3,22;3561932
;;;;;;;;
